id,x,y
123,6429902.16,5660254.551999999
124,6429738.397000001,5660384.645
125,6429744.047,5660399.052999998
126,6429688.783,5660406.182999999
127,6429688.9751,5671830.2842
128,6429862.9497,5671793.362500002
129,6432528.982999999,5659769.068
130,6432660.927,5659709.228999999
131,6432407.092999999,5659854.697000002
132,6432457.025,5659816.195
133,6429217.86,5668285.142999998
134,6429356.477999999,5668307.198999999
135,6429154.967,5668160.232999999
136,6432168.396000001,5667277.34
137,6432227.753,5667233.797
138,6427232.363,5664447.271000001
139,6427167.427999999,5664407.691000001
140,6427181.22,5664555.1170000015
141,6427208.801,5664486.191000001
142,6427142.93,5664591.596000001
143,6427216.687999999,5664576.211999998
144,6432662.366,5662211.425000002
145,6432590.797,5662217.856000002
146,6432414.4148,5662254.5173
147,6432333.81,5662276.404999998
148,6432224.4825,5662981.6658999985
149,6432046.6593,5663053.0847
150,6431831.6543,5663092.8573
151,6431914.2115,5663113.0582
152,6431878.1016,5663148.916300002
153,6431872.8391,5663151.150699999
154,6431911.682999999,5662787.82
155,6431687.8542,5662887.284700002
156,6431682.1133,5662879.8236
157,6431832.578,5662624.149
158,6432066.5415,5662521.0770000005
159,6431987.191000001,5662555.902000002
160,6432063.9688,5662513.783299998
161,6431971.7182,5662219.1085
162,6431970.026000001,5662212.135
163,6431539.292,5662409.055
164,6431584.887,5662386.336999998
165,6431378.9818,5662486.1007
166,6431387.856000001,5662498.406
167,6432267.0262,5662658.701300002
168,6432266.1896,5662682.908399999
169,6432792.466,5662366.488
170,6432684.999,5662378.7650000015
171,6437990.355,5663158.945
172,6437979.223999999,5663203.6389999995
173,6438030.788,5663169.737000001
174,6438019.776000001,5663211.039999999
175,6438070.12,5663180.004000002
176,6438061.203,5663212.956
177,6423397.1949,5670117.2327999985
178,6423399.8936,5670116.051000001
179,6423428.6455,5670108.6065
180,6423434.4183,5670108.670499999
181,6422626.2657,5669364.308599999
182,6422628.5676,5669365.1338
183,6422768.506,5669410.557800001
184,6422771.8,5669411.432800001
185,6431476.863,5664515.1982
186,6431483.1327,5664511.9814
187,6431243.137,5664344.839
188,6431204.0995,5664392.8486
189,6431193.0819,5664403.1647999985
190,6431191.0711,5664395.386
191,6431226.0,5664461.1740000015
192,6434007.5956,5660609.9627
193,6434089.811000001,5660631.323999999
194,6434008.5665,5660607.579600002
195,6434025.0847,5661340.8981
196,6434027.5112,5661341.3321
197,6434150.8216,5661403.227700002
198,6434135.46,5661400.3126
199,6433694.7848,5661277.0065
200,6433699.2637,5661277.737199998
201,6433691.8976,5661320.8095
202,6433686.5308,5661320.069800002
203,6436705.8729,5660390.8084
204,6436780.5432,5660945.5963
205,6436857.5853,5659905.4693
206,6436625.985,5660415.245999998
207,6427865.073,5661440.628000001
208,6427862.472,5661437.2084
209,6426369.5822,5664202.4902
210,6425623.2929,5665756.5309
211,6425806.656,5665728.1669999985
212,6425825.435,5665729.8961
213,6425186.8692,5665817.5715
214,6425236.6049,5665806.5868
215,6424977.047,5665833.771000001
216,6425267.5211,5665696.3628
217,6425271.1313,5665795.441600001
218,6433392.97,5661177.934699999
219,6433363.7932,5661286.411800001
220,6433427.541,5661283.448000001
221,6433435.767000001,5661288.307999999
222,6433570.185,5661279.7080000015
223,6433362.669,5661291.6740000015
224,6433281.2457,5661297.5902
225,6433732.6326,5661283.906400002
226,6433794.426,5661298.317000001
227,6432392.326,5661325.982000002
228,6432389.2226,5661325.533
229,6432377.743,5661230.0759999985
