id,v1,v2,type,direction,distance
380,566,567,strefa ruchu uspokojonego 20 i 30 km/h,2,47.14521478859999
381,568,569,strefa ruchu uspokojonego 20 i 30 km/h,2,84.3938096887
382,570,571,strefa ruchu uspokojonego 20 i 30 km/h,2,56.0363236861
383,572,573,strefa ruchu uspokojonego 20 i 30 km/h,2,162.598665139
384,574,575,strefa ruchu uspokojonego 20 i 30 km/h,2,193.521974617
385,10,576,strefa ruchu uspokojonego 20 i 30 km/h,2,88.378068946
386,576,577,strefa ruchu uspokojonego 20 i 30 km/h,2,135.669397181
387,20,578,strefa ruchu uspokojonego 20 i 30 km/h,2,70.9812975699
388,579,580,strefa ruchu uspokojonego 20 i 30 km/h,2,46.77329577020001
389,581,582,strefa ruchu uspokojonego 20 i 30 km/h,2,93.10567432010001
390,582,578,strefa ruchu uspokojonego 20 i 30 km/h,2,100.38051991100001
391,583,20,strefa ruchu uspokojonego 20 i 30 km/h,2,49.6364926496
392,584,585,strefa ruchu uspokojonego 20 i 30 km/h,2,207.01315061900002
393,586,587,strefa ruchu uspokojonego 20 i 30 km/h,2,138.257917378
394,588,587,strefa ruchu uspokojonego 20 i 30 km/h,2,64.9558049608
395,588,589,strefa ruchu uspokojonego 20 i 30 km/h,2,86.7362711947
396,589,590,strefa ruchu uspokojonego 20 i 30 km/h,2,82.59894751350001
397,308,591,strefa ruchu uspokojonego 20 i 30 km/h,2,72.3056668186
398,592,593,strefa ruchu uspokojonego 20 i 30 km/h,2,68.0078723285
399,593,307,strefa ruchu uspokojonego 20 i 30 km/h,2,122.79664755399999
400,594,595,strefa ruchu uspokojonego 20 i 30 km/h,2,242.06822096
401,339,596,droga dla rowerow,2,5.46002509582
402,597,598,strefa ruchu uspokojonego 20 i 30 km/h,2,81.7060971631
403,598,599,strefa ruchu uspokojonego 20 i 30 km/h,2,106.72086021700001
404,599,594,strefa ruchu uspokojonego 20 i 30 km/h,2,125.584460688
405,595,600,strefa ruchu uspokojonego 20 i 30 km/h,2,70.66427898159999
406,284,601,strefa ruchu uspokojonego 20 i 30 km/h,2,231.84379842099997
407,602,603,strefa ruchu uspokojonego 20 i 30 km/h,2,218.92096900599998
408,604,605,strefa ruchu uspokojonego 20 i 30 km/h,2,83.4888730136
409,606,604,strefa ruchu uspokojonego 20 i 30 km/h,2,74.0887068588
410,605,607,strefa ruchu uspokojonego 20 i 30 km/h,2,98.896239535
411,608,606,strefa ruchu uspokojonego 20 i 30 km/h,2,87.4536492365
412,609,608,strefa ruchu uspokojonego 20 i 30 km/h,2,188.346160433
413,604,610,strefa ruchu uspokojonego 20 i 30 km/h,2,112.45717419100001
414,605,611,strefa ruchu uspokojonego 20 i 30 km/h,2,180.061118006
415,612,613,strefa ruchu uspokojonego 20 i 30 km/h,2,65.9839574014
416,614,612,strefa ruchu uspokojonego 20 i 30 km/h,2,59.1079247005
417,615,614,strefa ruchu uspokojonego 20 i 30 km/h,2,129.758332411
418,616,617,strefa ruchu uspokojonego 20 i 30 km/h,2,119.979384423
419,618,619,strefa ruchu uspokojonego 20 i 30 km/h,2,551.412441405
