TYP;KIERUNEK;SHAPE_LEN;vertex_pos;vertex_index;vertex_part;vertex_part_index;distance;angle;xcoord;ycoord;
strefa ruchu uspokojonego 20 i 30 km/h;2;38.3702604994;-1;3;0;3;38.370260499850154;84.72913361259133;17.129726277766988;51.16398416937931;
strefa ruchu uspokojonego 20 i 30 km/h;2;33.4126915351;0;0;0;0;0;14.450620467523906;17.031133151823298;51.11174987895337;
strefa ruchu uspokojonego 20 i 30 km/h;2;33.4126915351;-1;3;0;3;33.412691536234476;17.424251109305946;17.031255043100163;51.11204015923161;
strefa ruchu uspokojonego 20 i 30 km/h;2;8.48939593424;0;0;0;0;0;15.537674455518534;17.031255043100163;51.11204015923161;
strefa ruchu uspokojonego 20 i 30 km/h;2;8.48939593424;-1;2;0;2;8.489395934122005;15.511233044032124;17.03128593333812;51.11211395083999;
strefa ruchu uspokojonego 20 i 30 km/h;2;10.1423652099;0;0;0;0;0;11.838783589174753;17.03128593333812;51.11211395083999;
strefa ruchu uspokojonego 20 i 30 km/h;2;10.1423652099;-1;2;0;2;10.142365209098;11.822109729812007;17.031313753794738;51.11220342200081;
strefa ruchu uspokojonego 20 i 30 km/h;2;6.95799579486;0;0;0;0;0;9.816266222835813;17.0311174914736;51.11168811585132;
strefa ruchu uspokojonego 20 i 30 km/h;2;6.95799579486;-1;2;0;2;6.957995793616378;9.827724000641068;17.031133151823298;51.11174987895337;
kontraruch;2;77.3622199692;0;0;0;0;0;358.52367238770194;17.030834173308502;51.11101929892527;
kontraruch;2;77.3622199692;-1;5;0;5;77.36221996927095;17.790325237014873;17.0311174914736;51.11168811585132;
kontrapas;1;122.463266178;0;0;0;0;0;13.27152059152005;17.0312914638282;51.11222313422558;
kontrapas;1;122.463266178;-1;8;0;8;122.46326617711732;342.55329269259414;17.03152719094758;51.113294536592335;
pas ruchu dla rowerow;1;25.1347422663;0;0;0;0;0;278.53137879243013;17.03769216870947;51.08787159367032;
pas ruchu dla rowerow;1;25.1347422663;-1;3;0;3;25.134742266055827;282.41534313374206;17.037338836833275;51.08791020645931;
lacznik drogowy;2;7.30021532902;0;0;0;0;0;350.64386841613526;17.037357118365296;51.08784560310137;
lacznik drogowy;2;7.30021532902;-1;1;0;1;7.300215328640333;350.64386841613526;17.037338836833275;51.08791020645931;
lacznik drogowy;1;13.4378888121;0;0;0;0;0;72.24726805468734;17.03718587085929;51.08779520156441;
lacznik drogowy;1;13.4378888121;-1;2;0;2;13.437888812229481;51.197136209106155;17.037357118365296;51.08784560310137;
droga dla rowerow;2;15.1372040402;0;0;0;0;0;273.10980273921166;17.040838786776686;51.077227766106645;
droga dla rowerow;2;15.1372040402;-1;2;0;2;15.137204039679677;291.0538727777484;17.040628402746652;51.07725044862367;
droga dla rowerow;2;6.09119423841;0;0;0;0;0;228.11766261011957;17.041160519089203;51.077219929787006;
droga dla rowerow;2;6.09119423841;-1;1;0;1;6.091194237018546;228.11766261011957;17.041096567975963;51.07718284843875;
pas ruchu dla rowerow;1;48.6887422732;0;0;0;0;0;196.69977476020313;17.041078682456448;51.07763772278625;
pas ruchu dla rowerow;1;48.6887422732;-1;5;0;5;48.688742273088685;210.64636440515872;17.040838786776686;51.077227766106645;
lacznik drogowy;1;13.0658976363;0;0;0;0;0;16.26020470780929;17.04104070865252;51.07707092552775;
lacznik drogowy;1;13.0658976363;-1;2;0;2;13.065897636594656;21.80117685309625;17.041096567975963;51.07718284843875;
lacznik drogowy;1;16.8203659464;0;0;0;0;0;4.363984715417098;17.04104070865252;51.07707092552775;
lacznik drogowy;1;16.8203659464;-1;1;0;1;16.820365945110023;4.363984715417098;17.04105585432278;51.077221822096824;
